Date,Combined Price
08/02/2022,0.206140
09/02/2022,0.203280
10/02/2022,0.207960
11/02/2022,0.206660
12/02/2022,0.207470
13/02/2022,0.201680
14/02/2022,0.199610
15/02/2022,0.204450
16/02/2022,0.194890
17/02/2022,0.187850
18/02/2022,0.173700
19/02/2022,0.178070
20/02/2022,0.157560
21/02/2022,0.159920
22/02/2022,0.147150
23/02/2022,0.149510
24/02/2022,0.136120
25/02/2022,0.156440
26/02/2022,0.156900
27/02/2022,0.139750
28/02/2022,0.145180
01/03/2022,0.140830
02/03/2022,0.126530
03/03/2022,0.125200
04/03/2022,0.116490
05/03/2022,0.113510
06/03/2022,0.116310
07/03/2022,0.111700
08/03/2022,0.108600
09/03/2022,0.136070
10/03/2022,0.139480
11/03/2022,0.122500
12/03/2022,0.128230
13/03/2022,0.119260
14/03/2022,0.110040
15/03/2022,0.105600
16/03/2022,0.115460
17/03/2022,0.117570
18/03/2022,0.117720
19/03/2022,0.121000
20/03/2022,0.116290
21/03/2022,0.116900
22/03/2022,0.114630
23/03/2022,0.120680
24/03/2022,0.136040
25/03/2022,0.138920
26/03/2022,0.147460
27/03/2022,0.157650
28/03/2022,0.158590
29/03/2022,0.147330
30/03/2022,0.158030
31/03/2022,0.156110
01/04/2022,0.155140
02/04/2022,0.155090
03/04/2022,0.157960
04/04/2022,0.148130
05/04/2022,0.145270
06/04/2022,0.129720
07/04/2022,0.134800
08/04/2022,0.129770
09/04/2022,0.136660
10/04/2022,0.131420
11/04/2022,0.119240
12/04/2022,0.117710
13/04/2022,0.120200
14/04/2022,0.120860
15/04/2022,0.133910
16/04/2022,0.136580
17/04/2022,0.128680
18/04/2022,0.121000
19/04/2022,0.122590
20/04/2022,0.130560
21/04/2022,0.129940
22/04/2022,0.126600
23/04/2022,0.130460
24/04/2022,0.130430
25/04/2022,0.126760
26/04/2022,0.131370
27/04/2022,0.144130
28/04/2022,0.150060
29/04/2022,0.175060
30/04/2022,0.172130
01/05/2022,0.162370
02/05/2022,0.175930
03/05/2022,0.179870
04/05/2022,0.199360
05/05/2022,0.177560
06/05/2022,0.184730
07/05/2022,0.183540
08/05/2022,0.173120
09/05/2022,0.146750
10/05/2022,0.158780
11/05/2022,0.135510
12/05/2022,0.129730
13/05/2022,0.129330
14/05/2022,0.131030
15/05/2022,0.145670
16/05/2022,0.115870
17/05/2022,0.122240
18/05/2022,0.109540
19/05/2022,0.109090
20/05/2022,0.109030
21/05/2022,0.111200
22/05/2022,0.099320
23/05/2022,0.082800
24/05/2022,0.082690
25/05/2022,0.078250
26/05/2022,0.066400
27/05/2022,0.063030
28/05/2022,0.080830
29/05/2022,0.070610
30/05/2022,0.083090
31/05/2022,0.080890
01/06/2022,0.067040
02/06/2022,0.067610
03/06/2022,0.057050
04/06/2022,0.056330
05/06/2022,0.049680
06/06/2022,0.054320
07/06/2022,0.060110
08/06/2022,0.054660
09/06/2022,0.052210
10/06/2022,0.048500
11/06/2022,0.041290
12/06/2022,0.037320
13/06/2022,0.031600
14/06/2022,0.034360
15/06/2022,0.038420
16/06/2022,0.032550
17/06/2022,0.032600
18/06/2022,0.031610
19/06/2022,0.034390
20/06/2022,0.038600
21/06/2022,0.041470
22/06/2022,0.039750
23/06/2022,0.044510
24/06/2022,0.048880
25/06/2022,0.055930
26/06/2022,0.045490
27/06/2022,0.042410
28/06/2022,0.037380
29/06/2022,0.037620
30/06/2022,0.036680
01/07/2022,0.038860
02/07/2022,0.036950
03/07/2022,0.034200
04/07/2022,0.038130
05/07/2022,0.034890
06/07/2022,0.037870
07/07/2022,0.039040
08/07/2022,0.036830
09/07/2022,0.038690
10/07/2022,0.036950
11/07/2022,0.035320
12/07/2022,0.034530
13/07/2022,0.036720
14/07/2022,0.037510
15/07/2022,0.037890
16/07/2022,0.040180
17/07/2022,0.038030
18/07/2022,0.040540
19/07/2022,0.044800
20/07/2022,0.041450
21/07/2022,0.041860
22/07/2022,0.041780
23/07/2022,0.041320
24/07/2022,0.041540
25/07/2022,0.042400
26/07/2022,0.045000
27/07/2022,0.047820
28/07/2022,0.047730
29/07/2022,0.049440
30/07/2022,0.052630
31/07/2022,0.049200
01/08/2022,0.048160
02/08/2022,0.045220
03/08/2022,0.047580
04/08/2022,0.047270
05/08/2022,0.050020
06/08/2022,0.051360
07/08/2022,0.051170
08/08/2022,0.052880
09/08/2022,0.054840
10/08/2022,0.059540
11/08/2022,0.059530
12/08/2022,0.062830
13/08/2022,0.067370
14/08/2022,0.068290
15/08/2022,0.064040
16/08/2022,0.059220
17/08/2022,0.058610
18/08/2022,0.052160
19/08/2022,0.038950
20/08/2022,0.042670
21/08/2022,0.049120
22/08/2022,0.048650
23/08/2022,0.049440
24/08/2022,0.050960
25/08/2022,0.050820
26/08/2022,0.045770
27/08/2022,0.041900
28/08/2022,0.040000
29/08/2022,0.041840
30/08/2022,0.040770
31/08/2022,0.040120
01/09/2022,0.040180
02/09/2022,0.042140
03/09/2022,0.042620
04/09/2022,0.042670
05/09/2022,0.041990
06/09/2022,0.040100
07/09/2022,0.040720
08/09/2022,0.039300
09/09/2022,0.039990
10/09/2022,0.039680
11/09/2022,0.039420
12/09/2022,0.040040
13/09/2022,0.037010
14/09/2022,0.036710
15/09/2022,0.034420
16/09/2022,0.033540
17/09/2022,0.035010
18/09/2022,0.032710
19/09/2022,0.031750
20/09/2022,0.030700
21/09/2022,0.030840
22/09/2022,0.031840
23/09/2022,0.031640
24/09/2022,0.032790
25/09/2022,0.033570
26/09/2022,0.032970
27/09/2022,0.032940
28/09/2022,0.033910
29/09/2022,0.033610
30/09/2022,0.034400
01/10/2022,0.033030
02/10/2022,0.032310
03/10/2022,0.033680
04/10/2022,0.034420
05/10/2022,0.033050
06/10/2022,0.033190
07/10/2022,0.033190
08/10/2022,0.032630
09/10/2022,0.033230
10/10/2022,0.032590
11/10/2022,0.032120
12/10/2022,0.032160
13/10/2022,0.032350
14/10/2022,0.031590
15/10/2022,0.031040
16/10/2022,0.031670
17/10/2022,0.032410
18/10/2022,0.032550
19/10/2022,0.031990
20/10/2022,0.031960
21/10/2022,0.031820
22/10/2022,0.033680
23/10/2022,0.035910
24/10/2022,0.040030
25/10/2022,0.041920
26/10/2022,0.047200
27/10/2022,0.042610
28/10/2022,0.044420
29/10/2022,0.045670
30/10/2022,0.043660
31/10/2022,0.042380
01/11/2022,0.043830
02/11/2022,0.039910
03/11/2022,0.038640
04/11/2022,0.042080
05/11/2022,0.038940
06/11/2022,0.036550
07/11/2022,0.032750
08/11/2022,0.031360
09/11/2022,0.030870
10/11/2022,0.034330
11/11/2022,0.034430
12/11/2022,0.033750
13/11/2022,0.032590
14/11/2022,0.032710
15/11/2022,0.032900
16/11/2022,0.032170
17/11/2022,0.030780
18/11/2022,0.031080
19/11/2022,0.030990
20/11/2022,0.029060
21/11/2022,0.026480
22/11/2022,0.027490
